Date,Open,High,Low,close to 4 week average ratio,Volume,Nifty Close,Close
16-08-2010,43.866001,45.162399,40.489399,0.986416952,26856488,5530.649902,42.147499
23-08-2010,41.1828,45.222698,40.5798,0.979275991,34180092,5408.700195,42.026901
30-08-2010,41.634998,43.715199,41.634998,1.004933887,21130810,5479.399902,42.991699
06-09-2010,43.112301,46.820499,42.841,1.08270257,73188445,5640.049805,46.277901
13-09-2010,46.4286,48.237499,44.1675,1.07283273,53705399,5884.950195,46.5191
20-09-2010,47.031601,47.333099,45.554298,1.049167761,30904413,6018.299805,46.639599
27-09-2010,47.031601,47.2728,43.323299,0.972401765,32500053,6143.399902,44.3484
04-10-2010,44.800598,45.7654,42.388699,0.928478363,36950631,6103.450195,42.660099
11-10-2010,42.961498,45.192501,42.539501,0.967872076,33661975,6062.649902,43.5947
18-10-2010,42.207802,44.619701,41.9063,0.997447603,43115172,6066.049805,44.197601
25-10-2010,44.318199,44.559399,38.710602,0.930666221,42016830,6017.700195,40.6703
01-11-2010,40.8512,42.0872,39.886398,0.95560208,19432479,6312.450195,40.881302
08-11-2010,40.941601,42.7505,39.796001,0.990564178,16526360,6071.649902,41.936501
15-11-2010,39.976799,46.0065,39.976799,1.062926605,58625741,5890.299805,44.559399
22-11-2010,45.5242,45.735199,40.097401,1.000357649,40388802,5751.950195,42.026901
29-11-2010,44.318199,44.318199,41.0019,0.998755077,37928646,5992.799805,42.298302
06-12-2010,42.5093,42.871101,39.8563,0.984822069,31730845,5857.350098,42.057098
13-12-2010,42.449001,42.991699,40.308498,0.960140235,29650439,5948.75,41.032001
20-12-2010,40.9114,42.7505,39.6754,1.011344897,33511240,6011.600098,42.3284
27-12-2010,42.690201,42.720402,40.640099,1.000180084,23840695,6134.5,41.936501
03-01-2011,42.0872,43.3535,40.1577,0.972078349,14393498,5904.600098,40.6703
10-01-2011,40.519501,41.544601,39.2533,0.983832914,18629315,5654.549805,40.820999
17-01-2011,40.700401,42.5093,40.248199,0.997452886,25426738,5696.5,41.3335
24-01-2011,41.152599,43.8358,40.790901,1.027629668,31958093,5512.149902,42.3284
31-01-2011,41.0019,43.8358,39.554798,1.021541218,23989147,5395.75,42.1777
07-02-2011,42.388699,43.112301,34.7612,0.921129583,52175660,5310,38.379002
14-02-2011,37.5047,39.615101,31.384501,0.932622773,49033681,5458.950195,38.288502
21-02-2011,38.379002,38.8312,34.550098,0.87392479,49445458,5303.549805,35.213402
28-02-2011,35.273701,36.871601,33.5854,0.944030378,34306115,5538.75,36.359001
07-03-2011,36.147999,37.866501,35.334,0.986781488,17997949,5445.450195,36.570099
14-03-2011,36.6605,38.228199,35.303799,0.998971475,24269838,5373.700195,36.570099
21-03-2011,36.6605,39.132702,35.906799,1.069999481,22525273,5654.25,38.710602
28-03-2011,38.710602,41.243099,38.077499,1.104148301,27670014,5826.049805,40.9114
04-04-2011,41.0019,48.780201,39.0121,1.037301139,63705492,5842,39.615101
11-04-2011,39.2533,40.549702,37.987,1.03328212,14535875,5824.549805,40.248199
18-04-2011,40.097401,42.1777,39.796001,1.020793778,11670626,5884.700195,40.700401
25-04-2011,40.700401,42.5093,40.217999,1.02912711,24997899,5749.5,41.544601
02-05-2011,41.9063,41.9063,38.379002,0.955923874,12646144,5551.450195,38.740799
09-05-2011,37.444401,41.303398,37.444401,1.007479837,7289894,5544.75,40.610001
16-05-2011,39.946701,41.9063,39.796001,1.006716746,6383615,5486.350098,40.6703
23-05-2011,40.3386,40.700401,37.564999,1.003918573,24854607,5476.100098,40.549702
30-05-2011,40.5798,43.564499,40.097401,1.055950359,13400932,5516.75,42.388699
06-06-2011,42.207802,43.986599,40.398899,1.058931717,15523537,5485.799805,43.474098
13-06-2011,43.293201,47.212502,43.112301,1.120893336,71648237,5366.399902,46.820499
